storm,threshold_km,excess_log1p,density,mean_excess,n
Harvey (2017),10,-0.22044088176352705,0.03287571545750046,3.3287329351356507,8719
Harvey (2017),10,-0.19238476953907835,0.03420000241452642,3.3287329351356507,8719
Harvey (2017),10,-0.16432865731462876,0.0355573607336484,3.3287329351356507,8719
Harvey (2017),10,-0.13627254509018005,0.03694894087316145,3.3287329351356507,8719
Harvey (2017),10,-0.10821643286573135,0.03837613043032095,3.3287329351356507,8719
Harvey (2017),10,-0.08016032064128265,0.03984058682741959,3.3287329351356507,8719
Harvey (2017),10,-0.05210420841683394,0.041344266810665026,3.3287329351356507,8719
Harvey (2017),10,-0.02404809619238435,0.04288944897113743,3.3287329351356507,8719
Harvey (2017),10,0.004008016032064354,0.044478745182185905,3.3287329351356507,8719
Harvey (2017),10,0.03206412825651306,0.04611509684462806,3.3287329351356507,8719
Harvey (2017),10,0.06012024048096176,0.047801752176820506,3.3287329351356507,8719
Harvey (2017),10,0.08817635270541047,0.049542221490558466,3.3287329351356507,8719
Harvey (2017),10,0.11623246492986006,0.05134020843611089,3.3287329351356507,8719
Harvey (2017),10,0.14428857715430876,0.05319951653195512,3.3287329351356507,8719
Harvey (2017),10,0.17234468937875747,0.05512393184233298,3.3287329351356507,8719
Harvey (2017),10,0.20040080160320617,0.057117084332681894,3.3287329351356507,8719
Harvey (2017),10,0.22845691382765576,0.05918229210845456,3.3287329351356507,8719
Harvey (2017),10,0.25651302605210446,0.061322394308422234,3.3287329351356507,8719
Harvey (2017),10,0.28456913827655317,0.06353957976144849,3.3287329351356507,8719
Harvey (2017),10,0.3126252505010019,0.06583521951681776,3.3287329351356507,8719
Harvey (2017),10,0.3406813627254506,0.0682097119299645,3.3287329351356507,8719
