home_zip,median_income,ec,ec_pred_from_income,ec_residual
01226,72664,1.05583,0.8916784194375236,0.16415158056247647
01230,71281,1.09628,0.8841262630856284,0.21215373691437156
01235,66516,1.0455,0.8581059991544783,0.18739400084552182
01237,78413,1.00351,0.9230720180398703,0.08043798196012963
01238,69840,1.05779,0.8762573857876668,0.18153261421233324
01240,72200,1.11115,0.8891446518689918,0.22200534813100825
01247,51959,0.81819999,0.7786145023977622,0.03958548760223779
01257,64531,1.17075,0.8472664978106519,0.32348350218934807
01267,95360,1.06407,1.0156146020569115,0.04845539794308862
01301,52569,0.97351003,0.7819455330374268,0.19156449696257327
01330,74355,1.20581,0.900912473227151,0.3048975267728491
01331,61990,1.03843,0.8333908439493607,0.20503915605063927
01337,75938,1.17582,0.9095567707723788,0.26626322922762125
01339,65139,1.02715,0.8505866070383831,0.17656339296161694
01340,64097,1.00363,0.84489655142112,0.15873344857888005
01344,66319,1.07901,0.8570302400790457,0.2219797599209543
01351,100078,1.1696,1.0413782128076283,0.12822178719237165
01360,83750,1.2163,0.9522158057839517,0.26408419421604823
01364,53039,1.05818,0.7845120648417585,0.2736679351582414
01370,69643,1.17246,0.8751816267122341,0.29727837328776596
01373,83826,1.1847,0.9526308194374181,0.23206918056258197
01375,58750,1.2361701,0.815698156617372,0.42047194338262806
01376,50921,0.95520997,0.7729462896043658,0.18226368039563412
01420,60390,0.86328,0.8246537144026995,0.038626285597300525
01430,103762,1.28276,1.0614954535888155,0.22126454641118443
01432,97097,1.21924,1.0250998483210052,0.1941401516789949
01436,75833,1.20388,0.9089833966458792,0.2948966033541208
01440,53400,1.0570101,0.7864833796957239,0.27052672030427616
01450,169643,1.42231,1.4212522233785532,0.0010577766214467932
01452,105938,1.2907701,1.0733779497722746,0.2173921502277254
01453,69525,0.95249999,0.8745372634081678,0.07796272659183212
01460,140511,1.34579,1.262170937157721,0.08361906284227905
01462,101540,1.23022,1.04936176493089,0.18085823506911014
01463,111827,1.34521,1.105536047209954,0.239673952790046
01464,111875,1.20237,1.1057981610963539,0.09657183890364607
01468,98925,1.2633801,1.0350820188280656,0.2282980811719344
01469,103984,1.31609,1.0627077303134147,0.2533822696865853
01473,107738,1.35374,1.0832072205122683,0.2705327794877317
01475,85000,1.13086,0.9590416882422808,0.17181831175771922
01501,94267,1.07858,1.0096460504353484,0.06893394956465171
01503,106908,1.17896,1.078674834559938,0.10028516544006205
01504,89129,1.207,0.981588943178633,0.22541105682136708
01505,127833,1.27459,1.192940106912365,0.08164989308763482
01506,75329,1.1835001,0.906231200838681,0.277268899161319
01507,106558,1.18836,1.0767635874716057,0.11159641252839436
01510,84938,1.01963,0.9587031244723476,0.06092687552765241
01516,133854,1.27534,1.2258190175376442,0.0495209824623557
01518,78673,1.19651,0.9244918015912027,0.27201819840879726
01519,128824,1.25274,1.1983516665253284,0.054388333474671535
01520,128245,1.22241,1.1951899177706304,0.027220082229369558
01522,109867,1.2014,1.0948330635152943,0.10656693648470572
