zip,n_edges,support_ratio_cdr,clustering_cdr,n_users,support_ratio_fb,clustering_fb
95123,1030.0,0.45922330097087377,0.10640761904638263,1691,0.77548999,0.08749
94526,866.0,0.4330254041570439,0.08857860313242095,1320,0.90244001,0.08743
94591,1523.0,0.6073539067629679,0.12027211911857968,1703,0.92107999,0.095179997
95776,1455.0,0.4742268041237113,0.11638197268556988,1381,0.94455999,0.099260002
94606,1241.0,0.43352135374697826,0.1020408596715334,1503,0.7626,0.08134
95355,5343.0,0.3241624555493169,0.09471201623130193,2939,0.86575001,0.083400004
94566,705.0,0.5517730496453901,0.11905470672682865,873,0.89099002,0.096340001
94582,1469.0,0.5663716814159292,0.12865146325247656,1358,0.88813001,0.093440004
95366,640.0,0.4890625,0.09689771553712952,744,0.96247,0.09606
95626,80.0,0.45,0.08189866871255913,169,0.73386002,0.084009998
95685,272.0,0.3786764705882353,0.09297057248166772,332,0.95266002,0.10558
95628,676.0,0.4822485207100592,0.08457616327815676,1099,0.76801002,0.083209999
95117,209.0,0.3397129186602871,0.08521918695714442,464,0.63901001,0.087800004
95122,926.0,0.509719222462203,0.10894996109511046,1288,0.82748997,0.088820003
95831,734.0,0.40463215258855584,0.08069733068933121,1181,0.84575999,0.081009999
94002,881.0,0.5073779795686719,0.09968524000834632,1198,0.74321002,0.087810002
95357,407.0,0.6363636363636364,0.11964433761544134,482,0.70153999,0.081890002
95076,5762.0,0.4227698715723707,0.1146285422387098,2871,0.97071999,0.087240003
94806,640.0,0.4796875,0.1050762532362891,1034,0.90359998,0.091789998
94965,411.0,0.4720194647201946,0.08596394631092025,659,0.84785002,0.076310001
94568,1371.0,0.46316557257476293,0.10009169238026748,1776,0.80991,0.091940001
95632,4505.0,0.530299667036626,0.12072895182856144,2155,0.9677,0.095289998
95215,869.0,0.5995397008055235,0.11132835590023465,998,0.8732,0.086719997
94085,469.0,0.39232409381663114,0.08778069717867876,1001,0.67129999,0.093989998
94534,893.0,0.46920492721164614,0.08945798939526459,1459,0.86227,0.087760001
95621,478.0,0.45188284518828453,0.09652090550904258,771,0.75597,0.0845
94960,762.0,0.4973753280839895,0.08953643931124254,946,0.80116999,0.084469996
95811,183.0,0.20218579234972678,0.06457293896834587,446,0.63336003,0.077869996
95817,93.0,0.27956989247311825,0.06611969936847296,218,0.82467997,0.077069998
95742,814.0,0.6240786240786241,0.10735370973078584,964,0.74379998,0.083999999
94514,104.0,0.5673076923076923,0.10115955797087453,181,0.69270003,0.088200003
95125,908.0,0.44933920704845814,0.08502687586793334,1513,0.71720999,0.081869997
95841,424.0,0.4834905660377358,0.09733527969761673,767,0.59552997,0.082269996
94952,837.0,0.4157706093189964,0.08485804265306993,1154,0.92648,0.092600003
94530,404.0,0.39851485148514854,0.08534499035096779,831,0.77003002,0.08061
95060,671.0,0.4068554396423249,0.09077786253840203,948,0.91189998,0.091470003
94502,214.0,0.5233644859813084,0.0958688729593508,397,0.89216,0.089079998
94579,409.0,0.511002444987775,0.10397047063924207,639,0.86782998,0.095250003
95818,716.0,0.42877094972067037,0.08864851119476472,977,0.69898999,0.07446
94134,562.0,0.5355871886120996,0.09534360636916636,1009,0.83736998,0.09144
94596,740.0,0.5027027027027027,0.09638152379462712,1028,0.71675003,0.090449996
94019,1666.0,0.5834333733493398,0.11988888655145477,1076,0.98548001,0.10827
94602,465.0,0.4150537634408602,0.08346928231565148,736,0.60544997,0.071759999
94044,852.0,0.45539906103286387,0.09310096633588075,1248,0.93035001,0.091229998
94403,1125.0,0.5226666666666666,0.09741451933348742,1692,0.81415999,0.087990001
94027,336.0,0.5148809523809523,0.09458225935469476,583,0.80129999,0.090599999
95148,1052.0,0.5560836501901141,0.1118870920823088,1445,0.91110998,0.094130002
94621,667.0,0.5397301349325337,0.11158729016008967,910,0.82596999,0.08207
95834,939.0,0.5122470713525027,0.1048726635677958,1295,0.71234,0.083679996
94107,487.0,0.39014373716632444,0.07811332259853189,1015,0.60921001,0.075649999
95228,207.0,0.5120772946859904,0.08924044754151061,247,0.95339,0.096699998
95694,924.0,0.6114718614718615,0.13335441938928913,645,0.98343003,0.10218
94507,250.0,0.56,0.10364110406766103,397,0.84062999,0.084770001
95688,1168.0,0.3553082191780822,0.08276726483123954,1298,0.93199003,0.087739997
95404,1088.0,0.46691176470588236,0.09561807292329462,1458,0.80892998,0.087030001
94014,928.0,0.49137931034482757,0.10630184708169871,1546,0.82594001,0.091849998
94928,1896.0,0.4451476793248945,0.10146421976507924,2077,0.91588002,0.098200001
94558,2472.0,0.4639967637540453,0.10860143492262948,2484,0.97415,0.089019999
95037,1345.0,0.4728624535315985,0.1119150590815838,1480,0.90978003,0.087379999
95757,1436.0,0.5786908077994429,0.1134540867845464,1639,0.84235001,0.089680001
95367,2298.0,0.5687554395126196,0.12309846862562676,1554,0.90996999,0.090889998
95032,638.0,0.5203761755485894,0.10846142338148697,1016,0.79806,0.087710001
94612,566.0,0.3763250883392226,0.08530180463344805,1064,0.49950999,0.07604
94062,256.0,0.3046875,0.06745048215358902,516,0.79374999,0.083400004
95843,1194.0,0.5887772194304858,0.13189198303502495,1209,0.84006,0.090800002
94595,379.0,0.41688654353562005,0.06838818316569702,462,0.72318,0.078809999
95324,1243.0,0.5567176186645213,0.11252268747294203,910,0.98689002,0.11474
95127,661.0,0.4236006051437216,0.09485746654645455,1035,0.81383997,0.084899999
94043,287.0,0.289198606271777,0.06162231680349816,762,0.65749002,0.090190001
95823,1550.0,0.49096774193548387,0.10879225023656505,2007,0.88278002,0.084830001
95816,282.0,0.29432624113475175,0.07008778998792504,643,0.73939002,0.081150003
94605,355.0,0.37183098591549296,0.06570311219793033,726,0.76442999,0.077239998
94564,587.0,0.49233390119250425,0.10677477342544485,786,0.83899999,0.093709998
94561,659.0,0.4370257966616085,0.09517799923044619,763,0.91358,0.087889999
94131,410.0,0.4121951219512195,0.08055900720688397,756,0.59258002,0.074589998
