event,GEOID,n_total,n_damaged,n_abandoned,n_rhigher,Abandoned_normalized,R_Higher_normalized,median_income,ec_tract,support_ratio_tract,volunteering_rate_tract
Harvey,48201322200,31,1,0,1,0.0,1.0,53993.0,0.5265399799999998,0.8436099900000001,0.01493
Harvey,48201324101,24,3,0,2,0.0,0.6666666666666666,55046.0,,,
Harvey,48201324102,1,0,0,0,,,,,,
Harvey,48201333000,1,0,0,0,,,67917.0,0.52476001,0.8351399900000005,0.020989999
Harvey,48201333802,50,4,3,1,0.75,0.25,86305.0,,,
Harvey,48201334003,8,0,0,0,,,66497.0,0.8103200199999998,0.8685700299999997,0.0372599999999999
Harvey,48201340102,2,0,0,0,,,90473.0,,,
Harvey,48201340202,235,15,2,12,0.13333333333333333,0.8,157132.0,1.1301612741096787,0.7864015904107494,0.0860108827441555
Harvey,48201340203,72,0,0,0,,,142574.0,1.0833008743742252,0.7685214723791821,0.0793937447335811
Harvey,48201340301,106,7,1,6,0.14285714285714285,0.8571428571428571,203971.0,1.0217062671411876,0.7767252674590932,0.0792993908756428
Harvey,48201340302,7,1,0,1,0.0,1.0,136665.0,1.13855,0.7871500300000001,0.0865299999999999
Harvey,48201340800,2,0,0,0,,,139310.0,0.8985800099999998,0.7657399800000001,0.071680002
Harvey,48201340900,2,0,0,0,,,47375.0,0.8436499800000002,0.7958099799999999,0.042800002
Harvey,48201341201,1,1,1,0,1.0,0.0,55461.0,0.8583276919979872,0.7683811549748364,0.0463842993392048
Harvey,48201341203,54,3,1,0,0.3333333333333333,0.0,69475.0,,,
Harvey,48201341204,45,11,0,11,0.0,1.0,72404.0,,,
Harvey,48201341302,1,0,0,0,,,71849.0,0.8927900200000001,0.7039800299999999,0.0548
Harvey,48201341600,25,6,0,5,0.0,0.8333333333333334,105761.0,1.03848,0.8701900200000003,0.0909600029999999
Harvey,48201341800,4,0,0,0,,,110682.0,0.8718799900000003,0.93743002,0.06701
Harvey,48201350101,113,2,0,0,0.0,0.0,59195.0,,,
Harvey,48201350102,26,3,1,1,0.3333333333333333,0.3333333333333333,114269.0,,,
Harvey,48201350104,5,1,0,1,0.0,1.0,101092.0,,,
Harvey,48201350201,373,29,10,16,0.3448275862068966,0.5517241379310345,61188.0,,,
Harvey,48201350202,269,7,2,4,0.2857142857142857,0.5714285714285714,90227.0,,,
Harvey,48201350300,278,22,7,10,0.3181818181818182,0.45454545454545453,116331.0,0.8103200200000001,0.8685700299999999,0.03726
Harvey,48201350400,601,24,4,11,0.16666666666666666,0.4583333333333333,78854.0,0.8103200200000001,0.86857003,0.0372599999999999
Harvey,48201350500,581,22,5,7,0.22727272727272727,0.3181818181818182,72571.0,0.8103200199999998,0.8685700299999999,0.03726
Harvey,48201350603,2,0,0,0,,,89634.0,,,
Harvey,48201350604,6,0,0,0,,,110742.0,,,
Harvey,48201350700,73,4,0,2,0.0,0.5,108456.0,1.14308,0.92587,0.060899999
Harvey,48201350801,134,4,0,4,0.0,1.0,64261.0,1.074806254966015,0.8962147081071062,0.0567729759971164
